ranks,threads,wall_total_s,wall_per_step_s,speedup,norm_best
1,192,41.487,1.3421,1.0,0.5339393487817599
2,96,31.686,0.9766,1.3742576285070653,0.7337702232234282
4,48,24.908,0.7897,1.6995061415727493,0.9074332024819552
6,32,24.286,0.7652,1.7539205436487193,0.9364871928907476
8,24,22.733,0.7166,1.8728718950600056,1.0
12,16,23.315,0.7281,1.843290756764181,0.9842054662821041
16,12,23.581,0.7315,1.8347231715652768,0.9796308954203691
24,8,23.767,0.7372,1.8205371676614217,0.9720564297341292
48,4,25.03,0.7649,1.7546084455484376,0.9368544907831089
96,2,28.071,0.8348,1.6076904647819839,0.8584091998083374
192,1,35.194,1.0109,1.327628845583144,0.7088732812345435
