ranks	threads	dims	tag	wall_total_s	wall_per_step_s	steps
8	24	2,2,2	default	22.603	0.7139	30
8	24	4,2,1	squat	24.220	0.7658	30
8	24	1,4,2	squat_yz	22.519	0.7080	30
8	24	8,1,1	slab_x	28.686	0.9036	30
8	24	1,1,8	slab_z	24.814	0.7886	30
12	16	3,2,2	default	23.154	0.7256	30
12	16	4,3,1	squat	23.499	0.7324	30
12	16	6,2,1	squat2	24.323	0.7621	30
12	16	12,1,1	slab_x	33.855	1.0690	30
24	8	4,3,2	default	23.819	0.7372	30
24	8	6,2,2	squat	24.308	0.7558	30
24	8	8,3,1	pencil	27.773	0.8614	30
24	8	24,1,1	slab	39.955	1.2470	30
